year,player,salary
1990,Hot Rod Williams,3785000
1990,Hakeem Olajuwon,3175000
1990,Charles Barkley,2900000
1990,Chris Mullin,2850000
1990,Isiah Thomas,2720000
1990,Danny Ferry,2640000
1990,Robert Parish,2500000
1990,Michael Jordan,2500000
1990,Moses Malone,2406000
1990,Magic Johnson,2400000
1990,Wayman Tisdale,2330000
1990,Pervis Ellison,2300000
1990,David Robinson,2265000
1990,Karl Malone,2260000
1990,Ralph Sampson,2250000
1990,Danny Manning,2200000
1990,Blair Rasmussen,2185000
1990,Chuck Person,2150000
1990,Derrick Coleman,2100000
1990,Dominique Wilkins,2065000
1990,Tom Chambers,2060000
1990,Sam Bowie,2000000
1990,LaSalle Thompson,2000000
1990,Willie Burton,2000000
1990,Terry Porter,2000000
1990,John Stockton,2000000
1990,Mark Eaton,2000000
1990,Sam Perkins,1970000
1990,Terry Cummings,1860000
1990,Sean Elliott,1800000
1990,Mark Jackson,1785000
1990,Otis Thorpe,1760000
1990,A.C. Green,1750000
1990,Benoit Benjamin,1750000
1990,Kevin Johnson,1750000
1990,Kevin Duckworth,1710000
1990,Alton Lister,1700000
1990,Gary Payton,1685000
1990,Mahmoud Abdul-Rauf,1660000
1990,Mike Gminski,1650000
1990,Rolando Blackman,1650000
1990,James Worthy,1600000
1990,Alec Kessler,1600000
1990,Jack Sikma,1600000
1990,Bernard King,1600000
1990,Dennis Scott,1560000
1990,Jon Koncak,1550000
1990,Glen Rice,1550000
1990,Buck Williams,1550000
1990,Derek Harper,1519000
1990,Fat Lever,1519000
1990,Bill Laimbeer,1510000
1990,Larry Bird,1500000
1990,Kendall Gill,1500000
1990,Alex English,1500000
1990,Danny Schayes,1500000
1990,Johnny Dawkins,1500000
1990,Kevin McHale,1400000
1990,Mark Price,1400000
1990,Vinnie Johnson,1400000
1990,Sleepy Floyd,1400000
1990,Xavier McDaniel,1400000
1990,Greg Anderson,1365000
1990,Ron Harper,1365000
1990,Rik Smits,1350000
1990,Rick Mahorn,1330000
1990,Brad Daugherty,1320000
1990,Manute Bol,1300000
1990,Brad Lohaus,1275000
1990,Sarunas Marciulionis,1270000
1990,Larry Nance,1260000
1990,Roy Hinson,1250000
1990,J.R. Reid,1250000
1990,Dale Ellis,1250000
1990,Jim Petersen,1235000
1990,Brian Shaw,1212000
1990,Drazen Petrovic,1200000
1990,Johnny Newman,1200000
1990,Tony Campbell,1200000
1990,Armen Gilliam,1200000
1990,Clyde Drexler,1180000
1990,Detlef Schrempf,1160000
1990,Randy Breuer,1150000
1990,Mark Aguirre,1115000
1990,Bill Cartwright,1100000
1990,Byron Scott,1100000
1990,Ricky Pierce,1100000
1990,Jeff Hornacek,1100000
1990,Wayne Cooper,1100000
1990,Terry Catledge,1085000
1990,Felton Spencer,1070000
1990,Ken Norman,1050000
1990,Charles Oakley,1050000
1990,Joe Dumars,1035000
1990,Kiki Vandeweghe,1025000
1990,Kelly Tripucka,1000000
1990,Horace Grant,1000000
1990,Stacey King,1000000
1990,Herb Williams,1000000
1990,Tyrone Hill,1000000
1990,Charles Smith,1000000
1990,Maurice Cheeks,1000000
1990,Eddie Johnson,1000000
1990,Hersey Hawkins,1000000
1990,Thurl Bailey,1000000
1990,John Williams,1000000
1990,Joe Wolf,990000
1990,Rodney McCray,985000
1990,Sam Vincent,980000
1990,Derrick McKey,962000
1990,Chris Dudley,950000
1990,Bo Kimble,950000
1990,George McCloud,940000
1990,James Edwards,935000
1990,Lionel Simmons,930000
1990,Craig Ehlo,925000
1990,Dennis Hopson,915000
1990,Jeff Malone,915000
1990,Michael Cage,910000
1990,Frank Brickowski,905000
1990,Dell Curry,900000
1990,Lester Conner,900000
1990,Kurt Rambis,900000
1990,Walter Davis,900000
1990,Paul Pressey,900000
1990,Doc Rivers,895000
1990,James Donaldson,880000
1990,Dennis Rodman,880000
1990,Kenny Walker,875000
1990,Mark West,875000
1990,Alvin Robertson,870000
1990,Joe Kleine,850000
1990,William Bedford,850000
1990,Mitch Richmond,850000
1990,Darrell Griffith,850000
1990,Sidney Green,837000
1990,Trent Tucker,835000
1990,Tyrone Corbin,830000
1990,Michael Adams,825000
1990,Loy Vaught,825000
1990,Muggsy Bogues,805000
1990,Orlando Woolridge,805000
1990,Rumeal Robinson,800000
1990,Tree Rollins,800000
1990,Larry Smith,800000
1990,Travis Mays,800000
1990,Tom Hammonds,800000
1990,Tim McCormick,775000
1990,Vlade Divac,770000
1990,Reggie Theus,765000
1990,Scottie Pippen,765000
1990,Roy Tarpley,765000
1990,Mike Sanders,760000
1990,Rony Seikaly,755000
1990,Ed Pinckney,750000
1990,Chris Morris,750000
1990,Cliff Levingston,750000
1990,David Wingate,750000
1990,Randy White,730000
1990,Gerald Wilkins,725000
1990,Nick Anderson,725000
1990,Danny Ainge,725000
1990,Willie Anderson,725000
1990,Kenny Smith,700000
1990,Bill Wennington,700000
1990,Fred Roberts,690000
1990,Kevin Willis,685000
1990,Rex Chapman,675000
1990,Buck Johnson,675000
1990,Tim Perry,675000
1990,Charles Jones,675000
1990,Vern Fleming,667000
1990,Nate McMillan,658000
1990,Reggie Miller,654000
1990,Alexander Volkov,650000
1990,Dave Jamerson,650000
1990,Jay Humphries,650000
1990,Sedale Threatt,650000
1990,Duane Causwell,650000
1990,Dave Greenwood,650000
1990,Mike Brown,650000
1990,Chucky Brown,630000
1990,Mychal Thompson,615000
1990,Pooh Richardson,615000
1990,Antoine Carr,610000
1990,Darrell Walker,610000
1990,Jeff Grayer,605000
1990,Larry Krystkowiak,605000
1990,Ledell Eackles,605000
1990,Terry Mills,600000
1990,Craig Hodges,600000
1990,Brad Davis,600000
1990,Olden Polynice,600000
1990,Andrew Lang,600000
1990,John Battle,590000
1990,Tod Murphy,590000
1990,John Salley,575000
1990,Elden Campbell,575000
1990,Gerald Glass,575000
1990,Todd Lichti,565000
1990,Jerrod Mustaf,565000
1990,John Bagley,550000
1990,Larry Drew,550000
1990,Terry Teagle,550000
1990,Ed Nealy,550000
1990,Jerome Kersey,550000
1990,Bob Hansen,550000
1990,Steve Kerr,548000
1990,Dee Brown,547000
1990,Gary Grant,530000
1990,Michael Smith,525000
1990,Mookie Blaylock,525000
1990,Derrick Chievous,525000
1990,Winston Bennett,525000
1990,Dwayne Schintzius,520000
1990,Sidney Moncrief,510000
1990,Spud Webb,510000
1990,Bill Hanzlik,510000
1990,Les Jepsen,505000
1990,Jerome Lane,500000
1990,Tim Hardaway,500000
1990,Rod Higgins,500000
1990,Randy Wittman,500000
1990,Sam Mitchell,500000
1990,Dana Barros,500000
1990,Jayson Williams,500000
1990,Mark Alarie,500000
1990,Eric Leckner,485000
1990,Greg Kite,480000
1990,Harvey Grant,475000
1990,Negele Knight,468000
1990,Brian Oliver,455000
1990,Will Perdue,450000
1990,Scott Hastings,450000
1990,Winston Garland,450000
1990,Jerry Reynolds,450000
1990,Otis Smith,450000
1990,Danny Young,450000
1990,Mark Acres,437000
1990,Dan Majerle,430000
1990,BJ Armstrong,425000
1990,Kevin Edwards,425000
1990,Quintin Dailey,425000
1990,Ron Anderson,425000
1990,Tate George,410000
1990,Jeff Turner,410000
1990,Scott Skiles,408000
1990,Tom Tolbert,405000
1990,Mark Bryant,405000
1990,Reggie Lewis,400000
1990,Ken Bannister,400000
1990,Billy Thompson,400000
1990,Adrian Dantley,400000
1990,Eddie Lee Wilkins,400000
1990,Dave Hoppen,400000
1990,Kenny Payne,400000
1990,Rod Strickland,400000
1990,Alaa Abdelnaby,395000
1990,John Paxson,385000
1990,Kevin Gamble,375000
1990,Byron Irvin,375000
1990,Anthony Cook,370000
1990,Lance Blanks,365000
1990,Jack Haley,360000
1990,Brian Quinnett,360000
1990,Blue Edwards,360000
1990,Kenny Gattison,355000
1990,John Morton,350000
1990,Kenny Battle,350000
1990,Shawn Kemp,350000
1990,Joe Barry Carroll,350000
1990,Morlon Wiley,347000
1990,Tom Garrick,340000
1990,Jon Sundvold,335000
1990,Bob Thornton,335000
1990,Micheal Williams,325000
1990,Mike Smrek,325000
1990,Sherman Douglas,325000
1990,Randolph Keys,322000
1990,Derek Smith,315000
1990,David Wood,300000
1990,Greg Dreiling,300000
1990,Grant Long,300000
1990,Greg Grant,300000
1990,Dave Corzine,300000
1990,Scott Meents,300000
1990,Rory Sparrow,300000
1990,Steve Colter,300000
1990,Scott Brooks,295000
1990,Bimbo Coles,290000
1990,Adrian Caldwell,275000
1990,Dave Feitl,275000
1990,A.J. English,275000
1990,Greg Foster,275000
1990,Steve Alford,250000
1990,Vernon Maxwell,250000
1990,Terry Davis,250000
1990,Cliff Robinson,250000
1990,Doug West,230000
1990,Jud Buechler,225000
1990,Frank Kornet,225000
1990,Walter Palmer,225000
1990,Stojko Vrankovic,222000
1990,Delaney Rudd,215000
1990,Marcus Liberty,210000
1990,Jeff Martin,210000
1990,Gary Leonard,200000
1990,Steve Scheffler,200000
1990,Milos Babic,200000
1990,Michael Ansley,200000
1990,Kevin Pritchard,185000
1990,Kenny Williams,175000
1990,Cedric Ceballos,175000
1990,Derrick Gervin,155000
1990,Scott Williams,150000
1990,John Shasky,150000
1990,John Long,150000
1990,Keith Askins,150000
1990,Richard Coffey,150000
1990,Sean Higgins,150000
1990,Tony Massenburg,150000
1990,Alan Ogg,130000
1990,Ian Lockhart,130000
1990,Duane Ferrell,125000
1990,Gerald Henderson,125000
1990,Rick Calloway,125000
1990,Kurk Lee,120000
1990,Gerald Paddio,120000
1990,Matt Bullard,120000
1990,Kennard Winchester,120000
1990,Tony Smith,120000
1990,Irving Thomas,120000
1990,Steve Henson,120000
1990,John Starks,120000
1990,Rickey Green,120000
1990,Andy Toolson,120000
1990,Haywoode Workman,120000
1990,Jim Grandholm,115000
1990,Andre Turner,110000
1990,Darnell Valentine,100000
1990,Paul Mokeski,100000
1990,Dave Popson,80000
1990,Scott Haffner,75000
1990,Henry James,75000
1990,Mario Elie,50000
1990,Avery Johnson,50000
1990,Alan Bannister,50000
1990,Tony Brown,50000
1990,A.J. Wynder,30000
1990,Kelvin Upshaw,30000
1990,Anthony Frederick,30000
1991,Hot Rod Williams,7571000
1991,Kevin McHale,4900000
1991,Reggie Lewis,3740000
1991,Michael Jordan,5750000
1991,Reggie Miller,3865000
1991,Charles Barkley,6100000
1991,Hakeem Olajuwon,6345000
1991,Patrick Ewing,3139000
1991,Dominique Wilkins,5165000
1991,Robert Parish,5500000
1991,Isiah Thomas,5680000
1991,Benoit Benjamin,4625000
1991,Chris Mullin,5694000
1991,Danny Ferry,5483000
1991,Scottie Pippen,3535000
1991,Ralph Sampson,4935000
1991,Karl Malone,4816000
1991,Bernard King,4125000
1991,Sam Perkins,4477000
1991,Magic Johnson,4900000
1991,Wayman Tisdale,4663000
1991,Derrick Coleman,4400000
1991,Danny Manning,4500000
1991,Pervis Ellison,4600000
1991,Tom Chambers,4335000
1991,Steve Smith,2250000
1991,Brad Daugherty,3565000
1991,David Robinson,4505000
1991,Chuck Person,4306000
1991,John Stockton,4100000
1991,Kevin Duckworth,3723000
1991,Mahmoud Abdul-Rauf,3668000
1991,Dikembe Mutombo,2005000
1991,Rony Seikaly,2757000
1991,Jon Koncak,3550000
1991,Sam Bowie,4000000
1991,Bill Cartwright,3100000
1991,John Salley,2575000
1991,LaSalle Thompson,4000000
1991,Dennis Scott,3540000
1991,Larry Johnson,1955000
1991,Kevin Johnson,3700000
1991,Scott Skiles,2333000
1991,Rolando Blackman,3570000
1991,Kendall Gill,3408000
1991,Gary Payton,3568000
1991,Terry Cummings,3721000
1991,Mike Gminski,3500000
1991,Kenny Anderson,1828000
1991,Mychal Thompson,2422000
1991,Sean Elliott,3602000
1991,Terry Porter,3787000
1991,Otis Thorpe,3546000
1991,Horace Grant,2750000
1991,A.C. Green,3500000
1991,James Worthy,3350000
1991,Ricky Pierce,2850000
1991,Derek Harper,3244000
1991,Johnny Dawkins,3200000
1991,Buck Williams,3250000
1991,Ron Harper,3015000
1991,Kenny Smith,2333000
1991,Xavier McDaniel,3025000
1991,Fat Lever,3138000
1991,John Paxson,1985000
1991,Danny Schayes,3100000
1991,Moses Malone,4006000
1991,Luc Longley,1590000
1991,Vinnie Johnson,2980000
